Bairro,Homicidios,Populacao,Taxa
AEROLANDIA,17,11.360,149.647887323944
AEROPORTO,2,8.618,23.2072406590856
ALDEOTA,8,42.361,18.8852954368405
ALTO DA BALANCA,10,12.814,78.0396441392227
ALVARO WEYNE,21,23.690,88.6449978894048
AMADEU FURTADO,0,11.703,0
ANCURI,18,20.070,89.6860986547085
ANTONIO BEZERRA,16,25.846,61.9051303876809
AUTRAN NUNES,18,21.208,84.8736325914749
BARRA DO CEARA,70,72.423,96.6543777529238
BARROSO,45,29.847,150.768921499648
BELA VISTA,17,16.754,101.468306076161
BENFICA,2,12.954,15.4392465647676
BOA VISTA,1,12.247,8.16526496284804
BOM FUTURO,0,6.405,0
BOM JARDIM,53,37.758,140.367604216325
BONSUCESSO,25,41.198,60.6825574056993
CAIS DO PORTO,19,22.382,84.8896434634974
CAJAZEIRAS,11,14.478,75.977344937146
CAMBEBA,4,7.625,52.4590163934426
CANINDEZINHO,29,41.202,70.3849327702539
CARLITO PAMPLONA,17,29.076,58.467464575595
CASTELAO,7,28.538,24.5286985773355
CENTRO,30,8.272,362.669245647969
CIDADE 2000,5,18.256,27.3882559158633
CIDADE DOS FUNCIONARIOS,9,7.188,125.208681135225
COACU,0,20.492,0
COCO,1,19.221,5.20264294261485
CONJUNTO CEARA I,7,23.673,29.569551810079
CONJUNTO CEARA II,6,16.405,36.5742151782993
CONJUNTO ESPERANCA,15,36.599,40.9847263586437
CONJUNTO PALMEIRAS,46,5.260,874.524714828897
COUTO FERNANDES,4,26.717,14.9717408391661
CRISTO REDENTOR,17,7.636,222.629649030906
CURIO,11,10.719,102.621513200858
DAMAS,2,3.370,59.3471810089021
DE LOURDES,0,10.994,0
DEMOCRITO ROCHA,5,5.637,88.6996629412808
DENDE,5,12.111,41.2847824291966
DIAS MACEDO,10,15.634,63.9631572214404
DIONISIO TORRES,3,13.147,22.8188940442687
DOM LUSTOSA,4,22.210,18.0099054479964
EDSON QUEIROZ,24,12.063,198.95548371052
ENG LUCIANO CAVALCANTE,1,23.309,4.29018833926809
FARIAS BRITO,1,28.896,3.46068660022148
FATIMA,7,40.336,17.3542245140817
FLORESTA,10,52.042,19.2152492217824
GENIBAU,37,39.651,93.3141660992157
GENTILANDIA,0,6.668,0
GRANJA LISBOA,32,5.266,607.671857197114
GRANJA PORTUGAL,26,26.994,96.3177002296807
GUAJERU,0,12.477,0
HENRIQUE JORGE,6,22.563,26.5922084829145
ITAOCA,10,14.204,70.402703463813
ITAPERI,8,50.479,15.8481744884011
JACARECANGA,11,12.264,89.6934116112198
JANGURUSSU,57,10.103,564.188854795605
JARDIM AMERICA,8,29.571,27.0535321767948
JARDIM CEARENSE,1,14.919,6.70286212212615
JARDIM DAS OLIVEIRAS,31,23.184,133.712905452036
JARDIM GUANABARA,6,18.398,32.6122404609197
JARDIM IRACEMA,29,23.450,123.667377398721
JOAO XXIII,10,19.331,51.7303812529098
JOAQUIM TAVORA,4,8.848,45.2079566003617
JOQUEI CLUBE,7,16.003,43.7417984127976
JOSE BONIFACIO,3,27.949,10.7338366310065
JOSE DE ALENCAR,20,15.543,128.675287910957
LAGOA REDONDA,13,37.952,34.2537942664418
MANOEL SATIRO,9,1.447,621.976503109883
MANUEL DIAS BRANCO,3,10.155,29.5420974889217
MARAPONGA,12,36.982,32.4482180520253
MEIRELES,2,41.689,4.79742857828204
MESSEJANA,46,76.044,60.4912945137026
MONDUBIM,47,13.215,355.656451002648
MONTE CASTELO,12,25.970,46.2071621101271
MONTESE,4,13.747,29.0972575834728
MOURA BRASIL,6,0,0
MUCURIPE,10,0,0
PADRE ANDRADE,6,12.936,46.3821892393321
PANAMERICANO,7,8.815,79.4100964265457
PAPICU,11,18.370,59.8802395209581
PARANGABA,11,30.947,35.544640837561
PARQUE ARAXA,0,6.715,0
PARQUE DOIS IRMAOS,14,27.236,51.4025554413277
PARQUE IRACEMA,2,8.409,23.7840409085504
PARQUE MANIBURA,0,7.529,0
PARQUE PRESIDENTE VARGAS,9,7.192,125.139043381535
PARQUE SANTA ROSA,8,0,0
PARQUE SAO JOSE,17,12.790,132.916340891321
PARQUELANDIA,6,10.486,57.2191493419798
PARREAO,0,14.432,0
PASSARE,35,11.072,316.112716763006
PATRIOLINO RIBEIRO,2,50.940,3.92618767177071
PAUPINA,12,14.665,81.8274803954995
PEDRAS,1,1.342,74.5156482861401
PICI,23,42.494,54.1252882759919
PIRAMBU,38,17.775,213.783403656821
PLANALTO AYRTON SENNA,30,39.446,76.0533387415708
PRAIA DE IRACEMA,11,3.130,351.437699680511
PRAIA DO FUTURO I,12,6.630,180.995475113122
PRAIA DO FUTURO II,12,11.957,100.359621978757
PREFEITO JOSE VALTER,25,33.427,74.78984054806
PRESIDENTE KENNEDY,2,23.004,8.69414014953921
QUINTINO CUNHA,36,47.277,76.1469636398249
RODOLFO TEOFILO,4,19.114,20.9270691639636
SABIAGUABA,9,2.117,425.129900803023
SALINAS,0,4.298,0
SAO BENTO,0,11.964,0
SAO GERARDO,3,14.505,20.6825232678387
SAO JOAO DO TAUAPE,24,27.598,86.9628233929995
SAPIRANGA COITE,13,32.158,40.4253995895267
SERRINHA,21,28.770,72.992700729927
SIQUEIRA,30,33.628,89.2113714761508
VARJOTA,2,8.421,23.7501484384277
VICENTE PINZON,34,45.518,74.6957247682236
VILA ELLERY,6,7.863,76.3067531476536
VILA PERY,6,20.645,29.0627270525551
VILA UNIAO,10,15.378,65.0279620236702
VILA VELHA,31,61.617,50.3107908531736
